Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.010051014,0.00663097,0.005583736,0,1.75,1.75
0.021006799,0.002922664,0.00926545,0,2.416666667,2.416666667
0.024429383,0.003583167,0.010895067,0,2,2
0.027883337,0,0.013933839,1.17E-05,3.166666667,3.166666667
0.033619072,0,0.016604057,2.01E-05,3.416666667,3.416666667
0.037611337,0,0.016040576,2.12E-06,3,3
0.046506096,0,0.019285384,0,3,3
0.051222896,0,0.023398604,7.73E-05,3.583333333,3.583333333
0.048078362,0,0.027768526,0.000347745,3.416666667,3.416666667
0.044933829,0,0.02797529,3.86E-05,3.583333333,3.583333333
0.041789296,0,0.024726986,0,3.416666667,3.416666667
0.041789296,0,0.02362264,0,4.166666667,4.166666667
0.046119799,0,0.024300552,0,5,5
0.047423963,0,0.025846166,0,4.416666667,4.416666667
0.044409846,0,0.029870091,0,4,4
0.041265313,0,0.031115854,0,3.416666667,3.416666667
0.038120779,0,0.030086422,0,3.583333333,3.583333333
0.034976246,0,0.022530552,0,4.583333333,4.583333333
0.020048301,0,0.017040084,0,4.416666667,4.416666667
0.00905961,0,0.013326776,0,3.416666667,3.416666667
0.007871828,0,0.036700454,0,3,3
0.005536545,0,0,0,3,3
0.006920789,0,0,0,3,3
0.005355677,0,0,0,3,3
0.010051014,0.005172172,0.003891667,0,4.166666667,4.166666667
